ID,Name,Country,Reason
76561198155819695,giovanni,Italy,VAC
76561198078552932,King,International,VAC
76561198043738173,Beef,Ireland,VAC
76561198081986910,cimuci,International,alt of bubu0606
76561198081986910,cimuci,International,Blacklisted
76561197996245015,Death_Crusade,International,VAC Banned
76561198357479802,arctic,Romania,Cheating
76561198357479802,arctic,Romania,Cheating 2nd time
76561198029490683,.rds quik,International,VAC
76561198154835830,Apple Jack,International,VAC
76561198061687233,MANTORRAS,International,VAC
76561198057941074,STAL!N,International,VAC
76561198072932719,DereK,Turkey,VAC
76561198866346130,Taythin,Turkey,Transphobia
76561199071948070,charkes,International,VAC
76561198143042073,illaz,International,VAC
76561198073570463,Aririmochika,International,VAC alt
76561198029145452,Sm1le,Russia,"Aimbot, second account smile"
76561198029145452,Sm1le,Russia,Blacklisted
76561198109871809,kekvl,Russia,Multi account
76561198109871809,kekvl,Russia,"Multi Account, Ban Evasion, VAC"
76561198109871809,kekvl,Russia,Repeated Misconduct/Racism
76561198261579598,Idris_Jump,International,VAC
76561198005646985,Sandik,Bulgaria,Speedhack
76561198367919685,ThePooN,Russia,Account Sharing
76561198367919685,ThePooN,Russia,Harassment
76561198111488366,welshmunn,UnitedKingdom,-
76561198057424888,SuperSonico,Russia,VAC
76561198052007951,nero__,International,VAC
76561198069135210,paulo,Portugal,VAC
76561197999234232,aduket,Turkey,Implicit to Account sharing fraud
76561198007159480,Tarkus,Israel,ESP hack
76561197988356939,rokzil,Lithuania,VAC
76561198055387757,RaTSLaYeR,UnitedKingdom,Racism
76561198055387757,RaTSLaYeR,UnitedKingdom,Racism
76561198130443979,lpeke,International,VAC
76561198244855416,art,International,VAC
76561198150879247,NiCO_,International,VAC
76561198029007882,cirno,Kazakhstan,VAC banned
76561198029007882,cirno,Kazakhstan,Blacklisted
76561198084891833,Dr British,UnitedKingdom,2nd failed demo request
76561198143649300,Boston Head Cracker,International,VAC
76561198032303295,Timothy,Israel,VAC ban
76561198032303295,Timothy,Israel,Blacklisted
76561198021607654,just you,Netherlands,Triggerbot / possible aimbot
76561197985439007,Fassadin,Poland,Failing to upload requested POV demo’s t
76561197985439007,Fassadin,Poland,Failing to provide requested demos
76561198112745866,PINGU,International,VAC
76561198263841587,mentalcrusher,International,VAC
76561198876868027,Luqiwe,International,VAC
76561198012461973,47,International,VAC
76561198064953405,Name,International,VAC
76561198014714253,AQ,International,VAC
76561198341125001,eqstaz,Kazakhstan,"Account Sharing, playing with alts"
76561197978556104,BaNaNa,France,aimbot
76561198348240722,kuzya,Russia,Cheating
76561198033900602,SharkED,International,VAC
76561198033900602,SharkED,International,Blacklisted
76561197983920509,davidtheking,Germany,VAC Banned
76561198038199399,izq,Ukraine,Second account of  izq
76561198038199399,izq,Ukraine,Blacklisted
76561198115289725,engie,International,VAC
76561198095352421,Bill,International,VAC
76561198385761207,Legaaa,International,VAC
76561198103151706,milks,Latvia,Alt of MikysThePony
76561198103151706,milks,Latvia,vac
76561198103151706,milks,Latvia,Blacklisted
76561198968240048,keeeyxd,International,VAC
76561198255547262,AloneProsGaming,International,VAC
76561198154373508,T1M3,Germany,VAC
76561198067051953,Condawg,UnitedKingdom,Second failure to upload demos
76561198866623948,luvr,England,Disrespectful behaviour
76561198045954058,Shulqiple,Israel,Failure to provide 2 demo requests.
76561198001263873,xnrzr,Kazakhstan,VAC Ban
76561198125277102,Berry,International,"ESP, aimbot"
76561198125277102,Berry,International,VAC
76561198169281998,Cabalo,International,VAC
76561198153117396,Cheezer,Peru,Alting/Account Sharing/Fraud
76561198326357747,TheRomanFox,International,VAC
76561198256212599,Huskee,Hungary,VAC
76561198097702185,massaS,International,VAC
76561198097702185,massaS,International,VAC
76561198098846168,pocklet,Australia,VAC
76561198343155616,Greek,Russia,Misconduct
76561198163280903,stilter,Finland,VAC
